gene_name	mean_length	median_length	max_length	gene_synonyms
TNFRSF4	1652.142857142857	1530.0	2521	ACT35,CD134,IMD16,OX40,TXGP1L
SDF4	2196.5	2106.0	2641	Cab45,SDF-4
B3GALT6	2805.0	2805.0	2805	beta3GalT6,EDSP2,EDSSPD2,SEMDJL1
C1QTNF12	1092.2	1135.0	1240	C1QDC2,CTRP12,FAM132A
UBE2J2	2417.4285714285716	2407.5	2749	NCUBE-2,NCUBE2,PRO2121
LINC01786	1224.0	1224.0	1357	
SCNN1D	3005.0	3005.0	3050	dNaCh,ENaCd,ENaCdelta,SCNED
ACAP3	4206.111111111111	3793.0	6232	CENTB5
MIR6726	34.0	21.0	61	hsa-mir-6726
SNORD167	84.0	84.0	84	
PUSL1	1196.5714285714287	1257.0	1343	
INTS11	2155.3	2134.0	2629	CPSF3L,CPSF73L,INT11,RC-68,RC68
MIR6727	36.0	23.0	65	hsa-mir-6727
CPTP	2252.25	2178.0	2651	GLTPD1
TAS1R3	3532.6666666666665	3560.0	3563	T1R3
DVL1	3148.25	3148.5	3305	DRS2,DVL,DVL1L1,DVL1P1
MIR6808	34.0	22.0	59	hsa-mir-6808
MXRA8	2462.4285714285716	2293.0	3639	ASP3
AURKAIP1	1038.4	910.0	1370	AIP,AKIP,MRP-S38
NDUFB4P8	445.0	445.0	445	
CCNL2	3305.423076923077	3460.5	5266	ANIA-6B,CCNM,CCNS,HCLA-ISO,HLA-ISO,PCEE,SB138
MRPL20-AS1	1748.0	1748.0	1748	
MRPL20	872.5	872.5	1045	L20mt,MRP-L20
RN7SL657P	293.0	293.0	293	
LOC107984868	3854.0	3854.0	3854	
ANKRD65	2340.777777777778	2324.0	3182	
LOC105378585	1139.0	1139.0	1139	
TMEM88B	492.0	492.0	492	
LINC01770	996.0	902.0	1194	
LOC107985729	1463.0	1463.0	1463	
VWA1	4294.5	4294.5	4492	WARP
ATAD3C	3864.0	3864.0	3864	
ATAD3B	2992.3636363636365	2630.0	4491	AAA-TOB3,TOB3
ATAD3A	2498.1666666666665	2503.0	2625	HAYOS
TMEM240	1381.0	1381.0	1381	C1orf70,SCA21
SSU72	1284.0	1284.0	1284	HSPC182,PNAS-120
FNDC10	2124.0	2124.0	2124	C1orf233
LOC105378586	572.0	572.0	572	
MIB2	4262.14705882353	3543.0	6921	ZZANK1,ZZZ5
MMP23B	2048.0	2093.5	2757	MIFR,MIFR-1,MMP22,MMP23A
CDK11B	3235.375	3372.0	3719	CDC2L1,CDK11,CDK11-p110,CDK11-p46,CDK11-p58,CLK-1,p58,p58CDC2L1,p58CLK-1,PITSLREA,PK58
SLC35E2B	3846.4285714285716	5386.0	6434	SLC35E2
LOC100288379	1153.0	1153.0	1153	
MMP23A	906.0	906.0	906	MIFR,MIFR-1,MMP21
CDK11A	2947.8333333333335	2967.5	2993	CDC2L2,CDC2L3,CDK11-p110,CDK11-p46,CDK11-p58,p58GTA,PITSLRE
SLC35E2A	4226.0	4226.0	6294	SLC35E2
LOC100129381	1473.0	1473.0	1473	
LOC112268218	2032.0	2032.0	2032	
NADK	2994.6470588235293	3180.0	3718	dJ283E3.1
GNB1	3037.5714285714284	3048.0	3163	MRD42
LOC105378949	1062.3333333333333	1022.0	1150	
CALML6	1170.6666666666667	670.0	2223	CAGLP
TMEM52	935.0	935.0	935	
CFAP74	5199.625	5428.5	6571	C1orf222,KIAA1751
LOC107984872	2518.0	2518.0	2532	
LOC105378589	4656.0	4656.0	4748	
GABRD	3573.3333333333335	3835.0	4971	EIG10,EJM7,GEFSP5
LOC105378590	2121.0	2121.0	2225	
LOC105378591	540.0	540.0	540	
PRKCZ	2558.310344827586	2463.0	4157	PKC-ZETA,PKC2
PRKCZ-AS1	1253.0	1253.0	1253	
FAAP20	1537.25	1430.0	3576	C1orf86,FP7162
LOC112268219	2671.0	2671.0	2671	
LOC105378593	1031.0	1031.0	1031	
SKI	6520.5	5883.0	8826	SGS,SKV
MORN1	2581.6666666666665	1645.0	4733	
LOC100129534	2248.0	2248.0	2248	
RER1	3028.0	3028.0	3028	
PEX10	1693.0	2003.5	2074	NALD,PBD6A,PBD6B,RNF69
PLCH2	5227.357142857143	5276.0	5934	PLC-eta2,PLC-L4,PLCeta2,PLCL4
PANK4	2772.3333333333335	2641.0	3043	
HES5	1517.5	1517.5	1711	bHLHb38
TNFRSF14-AS1	4619.0	4619.0	4619	
TNFRSF14	2270.2	1856.0	3501	ATAR,CD270,HVEA,HVEM,LIGHTR,TR2
LOC100996583	698.0	698.0	698	
PRXL2B	2707.9	2725.0	2801	C1orf93,FAM213B
MMEL1	2699.5555555555557	2809.0	3171	MMEL2,NEP2,NEPII,NL1,NL2,SEP
MMEL1-AS1	796.4	810.0	1050	
TTC34	4513.0	4513.0	5646	
LOC105378603	128.0	128.0	128	
LOC105378602	736.0	736.0	736	
LOC105378601	736.0	736.0	736	
LOC112268220	996.0	996.0	996	
LOC107985732	822.0	822.0	822	
LOC105378600	736.0	736.0	736	
LOC105378598	3257.2380952380954	3346.0	3512	
LOC107984904	822.0	822.0	822	
LOC105378599	736.0	736.0	736	
ACTRT2	1437.0	1437.0	1437	Arp-T2,ARPM2,ARPT2,HARPM2
PRDM16-DT	2164.0	2164.0	3708	LINC00982,lnc-dPrdm16
PRDM16	8669.5	8669.5	8698	CMD1LL,KMT8F,LVNC8,MEL1,PFM13
LOC100420339	1040.0	1040.0	1040	
MIR4251	39.0	39.0	61	
LOC105378606	6179.0	6179.0	6179	
LOC107984909	2459.0	2459.0	2459	
LOC105378605	3292.0	3292.0	3292	
LOC105378604	11028.0	11858.0	11969	
ARHGEF16	2800.5714285714284	2822.0	3589	GEF16,NBR
MEGF6	6999.857142857143	7443.0	7736	EGFL3
LOC105378608	3022.0	3022.0	3022	
MIR551A	58.5	58.5	96	mir-551a,MIRN551A
LOC105378607	801.6666666666666	940.0	990	
TPRG1L	2401.0	2401.0	2401	FAM79A,h-mover,mover
WRAP73	1628.75	1650.5	1692	WDR8
TP73	4955.0	4953.0	5192	P73
LOC105378610	1885.0	1885.0	2164	
LOC105378609	709.0	709.0	709	
TP73-AS1	4889.0	4690.0	6409	KIAA0495,PDAM
CCDC27	2497.6666666666665	2404.0	3034	
SMIM1	533.5	533.5	547	Vel
LRRC47	4303.0	4303.0	4303	
RN7SL574P	297.0	297.0	297	
CEP104	3922.5454545454545	3539.0	6431	CFAP256,GlyBP,JBTS25,KIAA0562,ROC22
DFFB	2591.4444444444443	2844.5	4113	CAD,CPAN,DFF-40,DFF2,DFF40
LOC107984910	2271.0	2271.0	2271	
C1orf174	2587.0	1962.0	4154	
LINC01134	1952.0	1952.0	1952	
LINC01346	568.0	568.0	568	
LINC01345	937.0	937.0	937	
LINC02780	1360.125	1329.5	1611	
EEF1DP6	437.0	437.0	437	
LINC01777	2074.0	2074.0	2074	
LOC105376674	715.5	715.5	1092	
LINC01646	1028.0	1028.0	1028	
LOC107985376	557.0	557.0	557	
AJAP1	9539.5	11756.5	12138	MOT8,SHREW-1,SHREW1
LINC02781	1225.0	1225.0	1569	
LOC102724429	984.6666666666666	976.0	1012	
LINC02782	348.5	348.5	465	
LOC105376682	434.0	434.0	434	
LOC107984911	2970.0	2970.0	2970	
LOC105376686	1711.0	1686.5	2774	
MIR4689	46.0	46.0	70	mir-4689
NPHP4	4638.909090909091	4696.0	5502	POC10,SLSN4
KCNAB2	3668.3076923076924	3876.0	4609	AKR6A5,HKvbeta2,HKvbeta2.1,HKvbeta2.2,KCNA2B,KV-BETA-2
CHD5	9850.0	9850.0	9850	CHD-5
LOC105376687	322.0	322.0	322	
RPL22	2061.0	2061.0	2061	EAP,HBP15,HBP15/L22,L22
LOC107985733	523.0	523.0	523	
LOC102724450	378.0	378.0	378	
RNF207	3604.5	3982.5	4844	C1orf188
ICMT	4655.0	4655.0	4795	HSTE14,MST098,MSTP098,PCCMT,PCMT,PPMT
LINC00337	1642.0	1642.0	1642	C1orf211,NCRNA00337
HES3	710.0	710.0	710	bHLHb43
GPR153	3629.5	4171.0	4198	PGR1
ACOT7	1553.5	1505.0	1805	ACH1,ACT,BACH,CTE-II,hBACH,LACH,LACH1
HES2	4262.0	4262.0	4262	bHLHb40
ESPN	3256.0	3453.0	4680	DFNB36,LP2654
MIR4252	41.0	41.0	63	
TNFRSF25	1375.1666666666667	1502.0	1652	APO-3,DDR3,DR3,GEF720,LARD,PLEKHG5,TNFRSF12,TR3,TRAMP,WSL-1,WSL-LR
PLEKHG5	4763.875	4720.0	5273	CMTRIC,DSMA4,GEF720,Syx,Tech
NOL9	3627.1666666666665	3328.0	6627	Grc3,NET6
RNU6-731P	111.0	111.0	111	
TAS1R1	2722.6666666666665	2673.5	3345	GM148,GPR70,T1R1,TR1
LOC107984912	406.5	406.5	446	
ZBTB48	2074.6666666666665	2258.0	2374	HKR3,pp9964,TZAP,ZNF855
KLHL21	4713.0	4713.0	4939	
LOC107984913	1971.0	1971.0	1971	
PHF13	3534.0	3534.0	3632	PHF5,SPOC1
THAP3	1687.875	1593.5	2427	
DNAJC11	3173.5	3173.5	3201	dJ126A5.1
LINC01672	389.0	389.0	399	NMR
CAMTA1-DT	552.0	552.0	552	lncCAMTA1
CAMTA1	4808.792452830188	5393.0	10899	CANPMR
RPL37P9	356.0	356.0	356	RPL37_1_4
RNU1-8P	165.0	165.0	165	RNU1-8
LOC105376692	2326.0	2326.0	2326	
CAMTA1-AS2	463.6666666666667	451.0	507	
CAMTA1-AS1	1313.8333333333333	1314.0	1480	
LOC105376691	307.0	307.0	307	
LOC105376689	2339.5	1574.0	4485	
VAMP3	1501.0	1501.0	2178	CEB
PER3	5436.333333333333	5118.0	6680	FASPS3,GIG13
UTS2	913.25	861.5	1313	PRO1068,U-II,UCN2,UII
TNFRSF9	3844.5	3844.5	5872	4-1BB,CD137,CDw137,ILA
TRUND-NNN4-1	70.0	70.0	70	tRNA-Und-NNN-4-1
PARK7	1003.6666666666666	981.0	1127	DJ-1,DJ1,GATD2,HEL-S-67p
ERRFI1	3973.0	3106.0	6658	GENE-33,MIG-6,MIG6,RALT
RPL7AP18	1307.0	1307.0	1307	RPL7A_1_5
LOC107984915	776.0	776.0	1002	
LOC100129776	2948.0	2948.0	2948	
RNU1-7P	164.0	164.0	164	RNU1-7
LINC01714	497.0	497.0	497	
LOC105376695	176.0	176.0	176	
RNU6-991P	107.0	107.0	107	
SLC45A1	2476.4	2481.0	2528	DNB5,IDDNPF
RERE	7552.0	8009.0	8194	ARG,ARP,ATN1L,DNB1,NEDBEH
RERE-AS1	694.0	694.0	694	
SNORD128	114.0	114.0	114	ZL43
RPL7P11	682.0	682.0	682	RPL7_1_6
RPL7P7	823.0	823.0	823	RPL7_1_7
RPL27P3	1120.0	1120.0	1120	
RPL23AP19	320.0	320.0	320	RPL23A_2_8
ENO1	2241.0	1781.0	3161	ENO1L1,HEL-S-17,MPB1,NNE,PPH
MIR6728	44.333333333333336	23.0	89	hsa-mir-6728
ENO1-AS1	447.0	447.0	447	
RNU6-304P	107.0	107.0	107	
HMGN2P17	1193.0	1193.0	1193	
LOC112268261	1759.1666666666667	1468.5	2619	
CA6	1076.6666666666667	1031.5	1334	CA-VI,GUSTIN
RN7SL451P	299.0	299.0	299	
SLC2A7	1517.6666666666667	1539.0	1739	GLUT-7,GLUT7,hGLUT7
SLC2A5	3692.4	4047.0	4255	GLUT-5,GLUT5
GPR157	3077.0	2095.0	5197	
MIR34AHG	4157.0	4157.0	4157	
MIR34A	51.333333333333336	22.0	110	mir-34,mir-34a,MIRN34A,miRNA34A
LNCTAM34A	982.0	982.0	982	GUARDIN,LINC01759
H6PD	9828.666666666666	9143.5	11787	CORTRD1,G6PDH,GDH,H6PDH
SPSB1	3106.0	3106.0	3106	SSB-1,SSB1
LINC02606	2363.0	2363.0	2363	
RNA5SP40	110.0	110.0	110	RN5S40
SLC25A33	2080.0	1248.0	3865	BMSC-MCP,PNC1
RPL9P11	677.0	677.0	677	RPL9_1_9
TMEM201	3514.0	3857.0	4275	Ima1,NET5,SAMP1
LOC107985734	1102.0	1102.0	1102	
LOC105376712	442.0	442.0	442	
PIK3CD	5325.117647058823	5308.0	5597	APDS,IMD14,p110D,P110DELTA,PI3K
PIK3CD-AS1	1823.0	1823.0	1823	C1orf200
RPL26P7	341.0	341.0	341	RPL26_1_10
PIK3CD-AS2	674.3333333333334	534.0	958	
CLSTN1	5041.666666666667	5169.0	5196	ALC-ALPHA,alcalpha1,alcalpha2,CDHR12,CST-1,CSTN1,PIK3CD,XB31alpha
MZT1P1	619.0	619.0	619	
CTNNBIP1	1939.4	1387.0	3006	ICAT
LOC105376717	485.0	485.0	485	
LZIC	3629.5555555555557	4757.0	4989	
NMNAT1	1954.0	1292.5	3796	LCA9,NMNAT,PNAT1
RN7SKP269	245.0	245.0	245	
TMEM274P	444.0	444.0	444	
MIR5697	50.0	50.0	78	
RBP7	732.5	732.5	840	CRABP4,CRBP4,CRBPIV
UBE4B	5252.3	5149.5	6058	E4,HDNB1,UBOX3,UFD2,UFD2A
RPL21P21	370.0	370.0	370	RPL21_1_11
PGAM1P11	982.0	982.0	982	
RNU6-828P	107.0	107.0	107	
KIF1B	9525.4	10581.0	10852	CMT2,CMT2A,CMT2A1,HMSNII,KLP,NBLST1
RNU6-37P	105.0	105.0	105	RNU6-37
RN7SL731P	293.0	293.0	293	
LOC105376725	1449.0	1449.0	1449	
PGD	2314.3333333333335	2268.0	2473	6PGD
CENPS-CORT	1310.0	1315.0	1530	APITD1,APITD1-CORT,CENP-S,CENPS,FAAP16,MHF1
CENPS	1163.0	1163.0	1421	APITD1,CENP-S,FAAP16,MHF1
CORT	914.0	914.0	914	CST-14,CST-17,CST-29
DFFA	4708.0	4708.0	6035	DFF-45,DFF1,ICAD
PEX14	2504.5714285714284	2081.0	5077	dJ734G22.2,NAPP2,PBD13A,Pex14p
RN7SL614P	280.0	280.0	280	
CASZ1	6456.714285714285	7598.0	7934	CAS11,CST,dJ734G22.1,SRG,ZNF693
LOC105376733	2605.0	2605.0	2605	
HSPE1P24	238.0	238.0	238	
LOC105376735	708.0	708.0	708	
C1orf127	2634.3333333333335	2679.0	2761	
CFL1P6	2020.0	2020.0	2020	CFLP6
TARDBP	3679.4285714285716	3969.0	5200	ALS10,TDP-43
MASP2	1257.8333333333333	1147.5	2455	MAP19,MASP-2,MASP1P1,sMAP
SRM	1162.0	1162.0	1260	PAPT,SPDSY,SPS1,SRML1
EXOSC10	3224.4	3199.5	3807	p2,p3,p4,PM-Scl,PM/Scl-100,PMSCL,PMSCL2,RRP6,Rrp6p
EXOSC10-AS1	452.3333333333333	445.0	541	
MTOR	7695.25	8555.0	9423	FRAP,FRAP1,FRAP2,RAFT1,RAPT1,SKS
MTOR-AS1	706.0	706.0	706	
RNU6-537P	64.0	64.0	64	
ANGPTL7	1863.0	2190.0	2224	AngX,CDT6,dJ647M16.1
RNU6-291P	107.0	107.0	107	
RPL39P6	404.0	404.0	404	RPL39_1_12
UBIAD1	4217.5	4608.5	5652	SCCD,TERE1
UBE2V2P3	862.0	862.0	862	
LOC105376737	1953.0	1953.0	1953	
LOC105376739	683.0	683.0	683	
LOC105376740	757.5	757.5	822	
MTCYBP45	565.0	565.0	565	
DISP3	3854.9	3640.5	5265	PTCHD2
LOC112268221	3663.0	3663.0	3663	
LINC01647	1285.0	1285.0	1285	
FBXO2	1287.0	1287.0	1287	FBG1,Fbs1,FBX2,NFB42,OCP1
FBXO44	2275.3333333333335	2287.0	3320	FBG3,FBX30,Fbx44,FBX6A,Fbxo6a
FBXO6	1398.5714285714287	1444.0	1554	FBG2,FBS2,FBX6,Fbx6b
MAD2L2	1421.0	1152.0	2058	FANCV,MAD2B,POLZ2,REV7
DRAXIN	4067.5	3502.0	7365	AGPA3119,C1orf187,neucrin,UNQ3119
AGTRAP	1195.25	1172.5	1280	ATRAP
C1orf167	5473.928571428572	5791.0	6080	
C1orf167-AS1	1868.0	1868.0	1868	
MTHFR	3713.3	2989.0	7207	
CLCN6	5634.333333333333	5632.0	5682	CLC-6
NPPA-AS1	1662.0	1662.0	1662	NPPA-AS,NPPAAS
NPPA	855.0	855.0	855	ANF,ANP,ATFB6,ATRST2,CDD,CDD-ANF,CDP,PND
NPPB	708.0	708.0	708	BNP
LOC390997	2990.0	2990.0	2990	
RNU5E-1	119.0	119.0	119	RNU5E,U5E
RNU5E-4P	120.0	120.0	120	
KIAA2013	2819.0	2819.0	2819	
PLOD1	3046.5	3046.5	3117	EDS6,EDSKCL1,LH,LH1,LLH,PLOD
MFN2	4594.428571428572	4562.0	4775	CMT2A,CMT2A2,CMT2A2A,CMT2A2B,CPRP1,HMSN6A,HSG,MARF
MIIP	1611.0	1584.5	1754	IIP45
MIR6729	36.0	22.0	65	hsa-mir-6729
RN7SL649P	275.0	275.0	275	
TNFRSF8	3718.25	3754.5	3769	CD30,D1S166E,Ki-1
RNU6-777P	104.0	104.0	104	
RPL23AP89	297.0	297.0	297	
MIR7846	58.5	58.5	96	hsa-mir-7846
TNFRSF1B	3494.5	3694.0	3801	CD120b,p75,p75TNFR,TBPII,TNF-R-II,TNF-R75,TNFBR,TNFR1B,TNFR2,TNFR80
MIR4632	35.333333333333336	23.0	61	
LOC107984917	2381.0	2381.0	2381	
RPL10P17	375.0	375.0	375	
VPS13D	16319.5	16319.5	16357	SCAR4
SNORA59A	152.0	152.0	152	ACA59
LINC02766	3771.0	3776.0	3803	
DHRS3	1539.2	1374.0	2201	DD83.1,RDH17,retSDR1,Rsdr1,SDR1,SDR16C1
RNU6ATAC18P	101.0	101.0	101	
MIR6730	37.333333333333336	23.0	67	hsa-mir-6730
AADACL4	1530.6666666666667	1527.0	1575	
AADACL3	3946.5	3946.5	4055	
C1orf158	3507.0	3507.0	3564	
PRAMEF12	1779.0	1779.0	1779	
PRAMEF1	1815.0	1815.0	2160	
LINC01784	442.0	442.0	442	
PRAMEF11	2050.5	2050.5	2256	
PRAMEF30P	2914.0	2914.0	2914	
HNRNPCL1	1170.0	1170.0	1170	HNRPCL1
PRAMEF2	1312.5	1312.5	1642	DJ845O24.3
PRAMEF4	1840.0	1840.0	1840	
PRAMEF10	1525.0	1525.0	1525	
PRAMEF7	1558.0	1558.0	1558	
RNU6-1072P	106.0	106.0	106	
PRAMEF29P	2721.0	2721.0	2721	
PRAMEF6	1720.0	1720.0	1720	
PRAMEF27	1437.0	1437.0	1437	
HNRNPCL3	1006.0	1006.0	1006	HNRNPCL2,HNRNPCL4
PRAMEF25	1939.0	1939.0	1939	
PRAMEF34P	2214.0	2214.0	2214	
PRAMEF35P	1315.0	1315.0	1315	
HNRNPCL2	1156.0	1156.0	1156	HNRNPCP5
PRAMEF36P	2214.0	2214.0	2214	
PRAMEF26	1785.0	1785.0	1785	PRAMEF25
HNRNPCL4	928.0	928.0	928	HNRNPCL3
PRAMEF9	1437.0	1437.0	1437	
PRAMEF13	1507.5	1507.5	2163	
PRAMEF18	2125.0	2125.0	2125	
PRAMEF31P	2978.0	2978.0	2978	
PRAMEF5	1855.0	1855.0	1855	PRAMEF23,PRAMEF5L
PRAMEF32P	2721.0	2721.0	2721	
RNU6-771P	106.0	106.0	106	RNU6-1185P
PRAMEF8	1596.5	1596.5	1635	PRAMEF24
PRAMEF33	1518.0	1518.0	1518	PRAMEF33P
PRAMEF15	1865.0	1865.0	1865	
PRAMEF14	1744.5	1744.5	2164	
PRAMEF19	2123.0	2123.0	2123	
PRAMEF17	1578.0	1578.0	1578	
PRAMEF20	1597.0	1597.0	1597	PRAMEF21
LRRC38	2168.0	2168.0	2168	
LOC102724856	1961.5	1961.5	2074	
LOC107984918	1261.0	1261.0	1261	
BRWD1P1	982.0	982.0	982	
PDPN	2645.8571428571427	2642.0	2812	AGGRUS,GP36,Gp38,GP40,HT1A-1,OTS8,PA2.26,T1A,T1A-2,T1A2,TI1A
LOC107984919	2123.0	2123.0	2123	
RNA5SP41	101.0	101.0	101	RN5S41
LOC105378612	1123.0	1123.0	1123	
LOC105376756	443.0	443.0	443	
PRDM2	6412.5	6746.5	7957	HUMHOXY1,KMT8,KMT8A,MTB-ZF,RIZ,RIZ1,RIZ2
KAZN	4878.444444444444	3962.5	8988	C1orf196,KAZ
RNU6-1265P	103.0	103.0	103	
LOC107985467	3364.5	3364.5	4235	
LOC107985468	415.0	415.0	415	
KAZN-AS1	1247.0	1247.0	1247	
TBCAP2	464.0	464.0	464	
LOC105376759	2947.0	2947.0	4919	
LOC107985469	2311.0	2311.0	2311	
TMEM51-AS1	6979.0	6979.0	6979	C1orf126
TMEM51	2002.5555555555557	1967.0	2584	C1orf72
C1orf195	744.6666666666666	453.0	1366	
LOC100420251	1369.0	1369.0	1369	
LOC100421184	880.0	880.0	880	
FHAD1	4639.414634146341	4817.0	5144	
FHAD1-AS1	3110.5	3110.5	3112	
LOC101927441	2920.0	2818.5	4490	
EFHD2	2350.0	2350.0	2422	SWS1
CTRC	3412.0	3412.0	3482	CLCR,ELA4
CELA2A	916.0	916.0	916	ELA2A,PE-1
LOC105376767	1247.0	1247.0	1247	
CELA2B	915.0	915.0	915	ELA2B
CASP9	2591.714285714286	2808.0	3096	APAF-3,APAF3,ICE-LAP6,MCH6,PPP1R56
DNAJC16	5696.6	6034.0	7536	
SCARNA21B	139.0	139.0	139	
AGMAT	3095.0	3095.0	3095	
CHCHD2P6	787.0	787.0	787	
RNU7-179P	68.0	68.0	68	
CD24P1	4965.0	4965.0	4965	CD24L1
DDI2	10667.0	10667.0	10667	
RSC1A1	2318.0	2318.0	2318	RS1
PLEKHM2	3921.4	4029.0	4134	SKIP
SLC25A34	3236.2	3129.0	4373	
SLC25A34-AS1	633.0	633.0	633	
TMEM82	1443.0	1443.0	1443	
FBLIM1	2172.714285714286	1919.0	3584	CAL,FBLP-1,FBLP1
RPL12P14	613.0	613.0	613	RPL12_1_13
UQCRHL	538.0	538.0	538	
RPS16P1	522.0	522.0	522	RPS16_1_14
FLJ37453	2732.0	2732.0	2732	
SPEN	12385.0	12385.0	12385	HIAA0929,MINT,RBM15C,SHARP
ZBTB17	3473.785714285714	2761.5	4675	MIZ-1,pHZ-67,ZNF151,ZNF60
SRARP	3039.0	3039.0	3039	C1orf64,ERRF
HSPB7	2826.0	2883.0	2907	cvHSP
CLCNKA	2447.0	2488.0	2491	ClC-K1,CLCK1,hClC-Ka
LOC440568	5522.0	5522.0	5522	
CLCNKB	2368.0	2368.0	2562	ClC-K2,ClC-Kb,CLCKB
FAM131C	1720.0	1720.0	1720	C1orf117
EPHA2	3322.3333333333335	3878.0	3946	ARCC2,CTPA,CTPP1,CTRCT6,ECK
LOC101927479	1975.0	1423.0	3300	
ARHGEF19	2838.0	3322.0	3442	WGEF
ANO7L1	2786.5384615384614	2909.0	3436	
CPLANE2	1495.0	1495.0	1574	C1orf89,RSG1
MT1XP1	361.0	361.0	361	MTL1
FBXO42	6188.4	6227.0	6367	Fbx42,JFK
SZRD1	3423.3333333333335	3453.5	3551	C1orf144
RPL22P3	459.0	459.0	459	RPL22_1_15
SPATA21	2879.0	2412.0	5564	spergen-2,spergen2
NECAP2	2243.4444444444443	2059.0	3058	
LINC01772	2467.0	2467.0	3245	
CROCCP3	5368.0	5368.0	5368	CROCCL2,dJ798A10.2
RNU1-1	164.0	164.0	164	HSD1,HU1-1,RNU1,RNU1A,Rnu1a1,RNU1A3,RNU1G4,U1,U1A1
TRNAN-GUU	74.0	74.0	74	
LINC01783	1546.0	1546.0	1546	
RNU1-6P	144.0	144.0	144	RNU1-6
TRNAE-UUC	72.0	72.0	72	
TRNAG1	71.0	71.0	71	
TRG-CCC4-1	73.0	73.0	73	TRNAG36,TRNAV35P
LOC100421267	2580.0	2580.0	2580	
TRK-CTT7-1	72.0	72.0	72	TRNAL48,TRNAQ49P
NBPF1	5954.0	5954.0	5954	AB13,AB14,AB23,AD2,NBG,NBPF
LOC105376794	7512.0	7512.0	7512	
CROCCP2	1765.0	1765.0	1765	CROCCL1
